as_count,organ
98,VHFBloodVasculature
98,VHMBloodVasculature
62,VHFLung
59,VHMLung
56,VHFAllenBrain
56,VHMAllenBrain
31,VHMSpinalCord
30,VHFSpinalCord
24,VHFLeftEye
24,VHFRightEye
24,VHMLeftEye
24,VHMRightEye
23,VHMLiver
23,VHFLiver
17,VHFHeart
17,VHMHeart
14,VHMProstate
13,VHFRightKnee
13,VHMLeftKnee
13,VHMRightKnee
13,VHFLeftKnee
12,VHMSmallIntestine
11,VHFSmallIntestine
11,VHFLargeIntestine
11,VHMLargeIntestine
11,VHFLarynx
11,VHMLarynx
10,VHFUterus
9,VHFLeftKidney
9,VHMRightKidney
9,VHMLeftKidney
9,VHFLeftMammaryGland
9,VHFRightMammaryGland
9,VHFRightKidney
8,VHFLymphNode
8,VHMLymphNode
8,VHFPelvis
8,VHMPelvis
6,VHFUrinaryBladder
6,VHMSpleen
6,VHFSpleen
6,VHFPlacenta
6,VHMPancreas
6,VHMUrinaryBladder
5,VHFPancreas
5,VHFLeftFallopianTube
5,VHFRightFallopianTube
5,VHFMainBronchus
5,VHMMainBronchus
3,VHFThymus
3,VHMThymus
3,VHFTrachea
3,VHMTrachea
1,VHFLeftOvary
1,VHFSkin
1,VHFLeftUreter
1,VHMLeftUreter
1,VHMSkin
1,VHFRightOvary
1,VHFRightPalatineTonsil
1,VHFRightUreter
1,VHMLeftPalatineTonsil
1,VHMRightUreter
1,VHFLeftPalatineTonsil
1,VHMRightPalatineTonsil
