sex,consortium,dataset_count,cell_count,modality
Female,Allen Institute for Brain Science,5,0,
Male,Allen Institute for Brain Science,5,0,
Female,CxG,2388,19778197,sc_transcriptomics
Female,CxG,1090,0,
Male,CxG,2419,22640375,sc_transcriptomics
Male,CxG,861,0,
Unknown,CxG,235,2007149,sc_transcriptomics
Unknown,CxG,186,0,
Female,GTEx,7,123723,sc_transcriptomics
Female,GTEx,30,0,
Male,GTEx,8,143256,sc_transcriptomics
Male,GTEx,29,0,
Male,GUDMAP,12,0,
Female,HCA,40,659085,sc_transcriptomics
Female,HCA,76,0,
Male,HCA,42,799317,sc_transcriptomics
Male,HCA,71,0,
Male,"HIRN, ESPACE",1,0,
Female,HRA,1,0,
Male,HTAN,5,0,
Female,HuBMAP,140,3410547,sc_transcriptomics
Female,HuBMAP,23,1514227,sc_proteomics
Female,HuBMAP,1086,0,
Male,HuBMAP,255,10314608,sc_transcriptomics
Male,HuBMAP,84,16033284,sc_proteomics
Male,HuBMAP,1382,0,
Female,KPMP,14,58809,sc_transcriptomics
Female,KPMP,9,0,
Male,KPMP,13,54092,sc_transcriptomics
Male,KPMP,16,0,
Female,LungMap,4,0,
Male,LungMap,5,0,
Female,NHLBI/LungMap,2,29691,sc_transcriptomics
Male,NHLBI/LungMap,7,109809,sc_transcriptomics
Male,NHLBI/LungMap,1,0,
Female,SEA-AD,1,0,
Female,SPARC,38,0,
Male,SPARC,12,0,
Female,SenNet,9,106259,sc_transcriptomics
Female,SenNet,307,0,
Male,SenNet,8,130930,sc_transcriptomics
Male,SenNet,707,0,
Female,UEdinburgh,36,0,
Male,UEdinburgh,28,0,
