Organ,H5AD,AS3D,AS,CT,Azimuth,CellTypist,popV,hasReferenceOrgan
Bone marrow,0,0,1,47,43,39,14,
Pancreas,0,12,29,34,11,9,14,x
Small Intestine,0,23,43,35,0,0,16,x
Uterus,0,10,65,33,0,0,13,x
blood,0,0,1,29,41,26,18,
blood vasculature,0,248,1089,68,0,0,14,x
eye,0,96,43,37,0,0,27,x
heart,0,34,1093,71,25,49,6,x
hippocampal gyrus (formation),0,216,4,45,0,20,0,x
http://purl.obolibrary.org/obo/UBERON_0001347,0,0,1,0,26,0,0,
intestine,0,0,1,0,0,38,0,
kidney,0,116,64,75,58,34,0,x
large intestine,0,22,175,100,0,0,16,x
liver,0,46,599,50,25,35,12,x
lung,0,141,71,84,78,71,36,x
lymph node,0,16,35,46,0,28,22,x
male reproductive system,0,18,1217,82,0,0,13,x
mammary gland,0,0,1,0,0,0,14,
mesenteric lymph node,0,16,1,1,0,0,22,x
palatine tonsil,0,0,98,22,81,0,0,
prostate gland,0,18,1215,82,0,0,13,x
skeletal muscle tissue,0,0,1,0,0,18,0,
skin,0,2,32,50,0,23,21,x
spleen,0,12,87,73,0,32,22,x
thoracic thymus,0,6,534,63,0,0,21,x
trachea,0,6,14,18,0,0,18,x
urinary bladder,0,15,16,15,0,0,14,x
