sex,organ,as_label,cell_label,dataset_count,cell_id,mean_cell_count,cell_count
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adip1,4,http://purl.obolibrary.org/obo/CL_0000136,33.25,798
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adip2,2,http://purl.obolibrary.org/obo/CL_0000136,20,240
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adipocyte,6,http://purl.obolibrary.org/obo/CL_0000136,20.25,1458
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Aerocyte,1,http://purl.obolibrary.org/obo/CL_4028003,1,6
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Alveolar macrophage,1,http://purl.obolibrary.org/obo/CL_0000583,1,6
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Amacrine cell,5,http://purl.obolibrary.org/obo/CL_0000561,4.6,138
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Arterial EC,6,http://purl.obolibrary.org/obo/CL_1000413,223.5,8046
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Arterial Endothelial,6,http://purl.obolibrary.org/obo/CL_1000413,85.16666666666666666667,3066
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Astrocyte,1,http://purl.obolibrary.org/obo/CL_0000127,6,36
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Atrial Cardiomyocyte,3,http://purl.obolibrary.org/obo/CL_0002129,2,36
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Atrial cardiomyocyte,6,http://purl.obolibrary.org/obo/CL_0002129,11.5,414
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B,6,http://purl.obolibrary.org/obo/CL_0000236,20.2,1212
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B_plasma,4,http://purl.obolibrary.org/obo/CL_0000786,5,120
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD14 monocyte,4,http://purl.obolibrary.org/obo/CL_0001054,200.5,4812
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD14+Mo,4,http://purl.obolibrary.org/obo/CL_0001054,172,4128
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD16 NK cell,5,http://purl.obolibrary.org/obo/CL_0000939,129.4,3882
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD16 monocyte,4,http://purl.obolibrary.org/obo/CL_0000576,24.75,594
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD16+Mo,6,http://purl.obolibrary.org/obo/CL_0002396,57.66666666666666666667,2076
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Tfh,2,http://purl.obolibrary.org/obo/CL_0002038,5.5,66
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th1,2,http://purl.obolibrary.org/obo/CL_0000545,6,72
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th17,2,http://purl.obolibrary.org/obo/CL_0000899,1,12
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th2,3,http://purl.obolibrary.org/obo/CL_0000546,2,36
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_act,5,http://purl.obolibrary.org/obo/CL_0001043,14.6,438
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_naive,5,http://purl.obolibrary.org/obo/CL_0000895,33.8,1014
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_reg,3,http://purl.obolibrary.org/obo/CL_0000792,1.33333333333333333333,24
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD56 NK cell,4,http://purl.obolibrary.org/obo/CL_0000938,11.5,276
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_cytox,5,http://purl.obolibrary.org/obo/CL_0000794,2.8,84
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_em,5,http://purl.obolibrary.org/obo/CL_0000913,5.2,156
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_te,3,http://purl.obolibrary.org/obo/CL_0001050,13,234
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_trans,6,http://purl.obolibrary.org/obo/CL_0000625,7.83333333333333333333,282
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CXCL14 inhibitory neuron,6,http://purl.obolibrary.org/obo/CL_0000540,9.33333333333333333333,336
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Capillary EC,6,http://purl.obolibrary.org/obo/CL_0002144,1142.5,41130
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Capillary Endothelial,6,http://purl.obolibrary.org/obo/CL_0002144,1358.16666666666666666667,48894
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Cone-OFF-bipolar cell,2,http://purl.obolibrary.org/obo/CL_0000750,1,12
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Cycling T/NK cell,1,http://purl.obolibrary.org/obo/CL_0000814,6,36
