organId,organ,sex,modality,tool,total_organ_as_count,organ_as_count_with_collisions,rui_location_count,dataset_count,non_atlas_dataset_count
UBERON:0000059,large intestine,Female,sc_proteomics,sc_proteomics,11,5,8,8,163
UBERON:0000059,large intestine,Male,sc_proteomics,sc_proteomics,11,4,24,24,228
UBERON:0002097,skin of body,Female,sc_proteomics,sc_proteomics,1,1,3,3,5
UBERON:0002097,skin of body,Male,sc_proteomics,sc_proteomics,1,1,6,6,6
UBERON:0002108,small intestine,Female,sc_proteomics,sc_proteomics,11,7,8,8,172
UBERON:0002108,small intestine,Male,sc_proteomics,sc_proteomics,12,5,24,24,181
FMA:57987,Set of lactiferous glands in right breast,Female,sc_transcriptomics,popv,9,2,1,3,4
UBERON:0000948,heart,Female,sc_transcriptomics,popv,17,6,10,47,79
UBERON:0000948,heart,Female,sc_transcriptomics,azimuth,17,6,10,47,79
UBERON:0000948,heart,Female,sc_transcriptomics,celltypist,17,6,10,47,79
UBERON:0000948,heart,Male,sc_transcriptomics,azimuth,17,5,17,59,327
UBERON:0000948,heart,Male,sc_transcriptomics,celltypist,17,5,17,59,327
UBERON:0000948,heart,Male,sc_transcriptomics,popv,17,5,17,59,327
UBERON:0000059,large intestine,Female,sc_transcriptomics,celltypist,11,5,10,14,163
UBERON:0000059,large intestine,Female,sc_transcriptomics,popv,11,5,10,14,163
UBERON:0000059,large intestine,Male,sc_transcriptomics,popv,11,4,22,25,228
UBERON:0000059,large intestine,Male,sc_transcriptomics,celltypist,11,4,22,25,228
UBERON:0004538,left kidney,Female,sc_transcriptomics,azimuth,9,6,10,44,222
UBERON:0004538,left kidney,Male,sc_transcriptomics,azimuth,9,6,12,42,108
UBERON:0001223,left ureter,Female,sc_transcriptomics,azimuth,1,1,2,4,4
UBERON:0001223,left ureter,Male,sc_transcriptomics,azimuth,1,1,5,9,16
UBERON:0002107,liver,Male,sc_transcriptomics,celltypist,23,4,1,1,33
UBERON:0002107,liver,Male,sc_transcriptomics,popv,23,4,1,1,33
UBERON:0000079,male reproductive system,Male,sc_transcriptomics,popv,14,2,1,4,18
UBERON:0001004,respiratory system,Female,sc_transcriptomics,azimuth,62,2,1,2,228
UBERON:0001004,respiratory system,Female,sc_transcriptomics,celltypist,62,2,1,2,228
UBERON:0001004,respiratory system,Female,sc_transcriptomics,popv,62,2,1,2,228
UBERON:0001004,respiratory system,Male,sc_transcriptomics,popv,59,18,15,48,387
UBERON:0001004,respiratory system,Male,sc_transcriptomics,azimuth,59,18,15,48,387
UBERON:0001004,respiratory system,Male,sc_transcriptomics,celltypist,59,18,15,48,387
UBERON:0004539,right kidney,Female,sc_transcriptomics,azimuth,9,6,11,24,129
UBERON:0004539,right kidney,Male,sc_transcriptomics,azimuth,9,3,9,79,228
UBERON:0001222,right ureter,Female,sc_transcriptomics,azimuth,1,1,1,1,2
UBERON:0001222,right ureter,Male,sc_transcriptomics,azimuth,1,1,1,2,2
UBERON:0002097,skin of body,Male,sc_transcriptomics,celltypist,1,1,1,1,6
UBERON:0002097,skin of body,Male,sc_transcriptomics,popv,1,1,1,1,6
UBERON:0002108,small intestine,Female,sc_transcriptomics,celltypist,11,7,12,13,172
UBERON:0002108,small intestine,Female,sc_transcriptomics,popv,11,7,12,13,172
UBERON:0002108,small intestine,Male,sc_transcriptomics,popv,12,5,23,26,181
UBERON:0002108,small intestine,Male,sc_transcriptomics,celltypist,12,5,23,26,181
UBERON:0002106,spleen,Female,sc_transcriptomics,popv,6,2,1,2,26
UBERON:0002106,spleen,Male,sc_transcriptomics,popv,6,2,5,9,57
UBERON:0001255,urinary bladder,Female,sc_transcriptomics,popv,6,1,6,6,6
UBERON:0001255,urinary bladder,Male,sc_transcriptomics,popv,6,2,7,8,8
